journal_title,twitter,followers,date
british dental journal,The_BDJ,29160,2023-03-31
british educational research journal,BERJ_Editors,3211,2023-03-31
british journal for the history of philosophy,BJHP_1993,248,2023-03-31
british journal for the history of science,BJHSeditor,2348,2023-03-31
british journal for the philosophy of science,TheBJPS,6714,2023-03-31
british journal of aesthetics,BJAtweets,1710,2023-03-31
british journal of anaesthesia,BJAJournals,31594,2023-03-31
british journal of cancer,BrJCancer,3592,2023-03-31
british journal of clinical pharmacology,BritJClinPharm,3359,2023-03-31
british journal of dermatology,BrJDermatol,11494,2023-03-31
british journal of general practice,BJGPjournal,7853,2023-03-31
british journal of guidance & counselling,BJGCJournal,386,2023-03-31
british journal of learning disabilities,BJLD_Wiley,1764,2023-03-31
british journal of management,BJM_BAM,2996,2023-03-31
british journal of music education,BJMEMusic,790,2023-03-31
british journal of occupational therapy,BJOTeditor,8022,2023-03-31
british journal of oral & maxillofacial surgery,BJOMS_official,1664,2023-03-31
british journal of pharmacology,BrJPharmacol,6904,2023-03-31
british journal of political science,BJPolS,19213,2023-03-31
british journal of politics & international relations,BritJPIR,4396,2023-03-31
british journal of social work,BJofSW,6597,2023-03-31
british journal of sociology,bjsociology,2883,2023-03-31
british journal of sociology of education,BJSocEd,4929,2023-03-31
british journal of sports medicine,BJSM_BMJ,100330,2023-03-31
british journal of surgery,BJSurgery,42908,2023-03-31
brq-business research quarterly,BrqBusiness,88,2023-03-31
buffalo law review,buffalolawrev,161,2023-03-31
